,KeggID,Description
2026,gn:T02037,hhp; Helicobacter pylori Shi112
2027,gn:T02038,hhq; Helicobacter pylori Shi169
2028,gn:T02039,hhr; Helicobacter pylori Shi417
2029,gn:T02040,lmp; Listeria monocytogenes 07PF0776 (serotype 4b)
2030,gn:T02041,pmw; Paenibacillus mucilaginosus K02
2031,gn:T02042,psi; Providencia stuartii MRSN 2154
2032,gn:T02043,"sud; Staphylococcus aureus subsp. aureus 71193, methicillin-sensitive"
2033,gn:T02044,ase; Actinoplanes sp. SE50/110
2034,gn:T02045,abr; Acinetobacter baumannii MDR-TJ
2035,gn:T02046,aan; Aggregatibacter actinomycetemcomitans D7S-1
2036,gn:T02047,bni; Bifidobacterium animalis subsp. animalis ATCC 25527
2037,gn:T02048,bgb; Borreliella garinii BgVir (Borrelia garinii BgVir)
2038,gn:T02049,bpz; Burkholderia pseudomallei 1026b
2039,gn:T02050,bya; Bacillus velezensis YAU B9601-Y2 (Bacillus amyloliquefaciens subsp. plantarum YAU B9601-Y2)
2040,gn:T02051,bcw; Borrelia crocidurae Achema
2041,gn:T02052,cod; Corynebacterium pseudotuberculosis 1/06-A
2042,gn:T02053,cos; Corynebacterium pseudotuberculosis 42/02-A
2043,gn:T02054,coi; Corynebacterium pseudotuberculosis CIP 52.97
2044,gn:T02055,mej; Methylophaga nitratireducenticrescens JAM1
2045,gn:T02056,mec; Methylophaga frappieri JAM7
2046,gn:T02057,pul; Pasteurella multocida subsp. multocida 3480
2047,gn:T02058,pit; Prevotella intermedia 17
2048,gn:T02059,"sux; Staphylococcus aureus subsp. aureus HO 5096 0412, methicillin-resistant"
2049,gn:T02060,"suw; Staphylococcus aureus subsp. aureus TW20, methicillin-resistant"
2050,gn:T02061,smz; Stenotrophomonas maltophilia D457
2051,gn:T02062,stx; Streptococcus pyogenes MGAS1882 (serotype M59)
2052,gn:T02063,shy; Streptomyces hygroscopicus subsp. jinggangensis 5008
2053,gn:T02064,dvg; Desulfovibrio vulgaris RCH1
2054,gn:T02065,pcn; Cutibacterium acnes 6609 (Propionibacterium acnes 6609)
2055,gn:T02066,elr; Escherichia coli O55:H7 RM12579 (EPEC)
2056,gn:T02067,elo; Escherichia coli O44:H18 042 (EAEC)
2057,gn:T02068,eln; Escherichia coli O83:H1 NRG 857C (AIEC)
2058,gn:T02069,elh; Escherichia coli O78:H11:K80 H10407 (ETEC)
2059,gn:T02070,"suy; Staphylococcus aureus 04-02981, methicillin-resistant"
2060,gn:T02071,"sug; Staphylococcus aureus subsp. aureus ST398, methicillin-resistant"
2061,gn:T02072,sni; Streptococcus pneumoniae INV104 (serotype 1)
2062,gn:T02073,snv; Streptococcus pneumoniae INV200 (serotype 14)
2063,gn:T02074,snx; Streptococcus pneumoniae OXC141 (serotype 3)
2064,gn:T02075,bbn; Borreliella burgdorferi N40 (Borrelia burgdorferi N40)
2065,gn:T02076,cbj; Clostridium botulinum H04402 065
2066,gn:T02077,ese; Escherichia coli O150:H5 SE15 (commensal)
2067,gn:T02078,fcn; Francisella hispaniensis 3523 (Francisella cf. tularensis subsp. novicida 3523)
2068,gn:T02079,blw; Bifidobacterium animalis subsp. lactis B420
2069,gn:T02080,bls; Bifidobacterium animalis subsp. lactis Bi-07
2070,gn:T02081,bbj; Borreliella burgdorferi JD1 (Borrelia burgdorferi JD1)
2071,gn:T02082,hpd; Helicobacter pylori 51
2072,gn:T02083,mhc; Marinobacter nauticus ATCC 49840 (Marinobacter hydrocarbonoclasticus ATCC 49840)
2073,gn:T02084,scn; Solitalea canadensis DSM 3403
2074,gn:T02085,"suf; Staphylococcus aureus subsp. aureus LGA251, methicillin-resistant"
2075,gn:T02086,smj; Streptococcus mutans LJ23 (serotype k)
2076,gn:T02087,snd; Streptococcus pneumoniae ST556 (serotype 19F)
2077,gn:T02088,stf; Streptococcus salivarius 57.I
2078,gn:T02089,stj; Streptococcus salivarius JIM8777
2079,gn:T02090,dpp; Dictyostelium purpureum QSDP1 (cellular slime mold)
2080,gn:T02091,etd; Edwardsiella tarda FL6-60
2081,gn:T02092,blon; Bifidobacterium longum subsp. infantis ATCC 15697 (Tokyo)
2082,gn:T02093,bafz; Borrelia afzelii PKo (Maryland)
2083,gn:T02094,cra; Chlamydia trachomatis A2497
2084,gn:T02095,scy; Streptomyces cattleya NRRL 8057 = DSM 46488
2085,gn:T02096,ebe; Escherichia coli BL21(DE3)
2086,gn:T02097,chb; Chlamydia psittaci 6BC
2087,gn:T02098,syy; Synechocystis sp. PCC 6803 GT-S
2088,gn:T02099,vcr; Vibrio cholerae O1 O395
2089,gn:T02100,lrg; Lacticaseibacillus rhamnosus GG (Lactobacillus rhamnosus GG)
2090,gn:T02101,ell; Escherichia coli W
2091,gn:T02102,edj; Escherichia coli DH1
2092,gn:T02103,bsi; Brucella suis 1330
2093,gn:T02104,ekf; Escherichia coli KO11FL
2094,gn:T02105,fsc; Fibrobacter succinogenes subsp. succinogenes S85
2095,gn:T02106,hte; Hydrogenobacter thermophilus TK-6
2096,gn:T02107,rai; Riemerella anatipestifer ATCC 11845 = DSM 15868
2097,gn:T02108,bqy; Bacillus amyloliquefaciens Y2
2098,gn:T02109,"bbg; Blattabacterium sp. BGIGA, endosymbiont of Blaberus giganteus (Central American giant cockroach)"
2099,gn:T02110,buk; Burkholderia sp. KJ006
2100,gn:T02111,ebt; Shimwellia blattae DSM 4481 = NBRC 105725
2101,gn:T02112,fna; Francisella orientalis Toba 04
2102,gn:T02113,mmm; Mycobacterium sp. MOTT36Y
2103,gn:T02114,pfc; Pseudomonas fluorescens A506
2104,gn:T02115,scf; Streptococcus parasanguinis FW213
2105,gn:T02116,stw; Streptococcus thermophilus MN-ZLW-002
2106,gn:T02117,aka; Advenella kashmirensis WT001
2107,gn:T02118,coe; Corynebacterium pseudotuberculosis 258
2108,gn:T02119,csk; Cronobacter sakazakii ES15
2109,gn:T02120,efu; Enterococcus faecium DO
2110,gn:T02121,epr; Erwinia pyrifoliae DSM 12163
2111,gn:T02122,elx; Escherichia coli O157:H7 Xuzhou21 (EHEC)
2112,gn:T02123,mpg; Mesotoga prima MesG1.Ag.4.2
2113,gn:T02124,pys; Pyrococcus sp. ST04
2114,gn:T02125,srp; Streptococcus suis ST1 (serotype 1)
2115,gn:T02126,sol; Saccharolobus solfataricus 98/2
2116,gn:T02127,thg; Thermogladius calderae 1633 (Thermogladius cellulolyticus 1633)
2117,gn:T02128,tmo; Tistrella mobilis KA081020-065
2118,gn:T02129,hme; Haloferax mediterranei ATCC 33500
2119,gn:T02130,hey; Helicobacter pylori XZ274
2120,gn:T02131,lln; Lactococcus lactis subsp. cremoris NZ9000
2121,gn:T02132,asl; Aequorivita sublithincola DSM 14238
2122,gn:T02133,afd; Alistipes finegoldii DSM 17242
2123,gn:T02134,bbd; Belliella baltica DSM 15883
2124,gn:T02135,bbf; Bifidobacterium bifidum BGN4
2125,gn:T02136,dfd; Desulfurococcus amylolyticus DSM 16532 (Desulfurococcus fermentans DSM 16532)
2126,gn:T02137,tsh; Thermoanaerobacterium saccharolyticum JW/SL-YS485
2127,gn:T02138,tvi; Thiocystis violascens DSM 198
2128,gn:T02139,sba; Sulfurospirillum barnesii SES-3
2129,gn:T02140,trs; Terriglobus roseus DSM 18391
2130,gn:T02141,mtz; Mycobacterium tuberculosis KZN 605
2131,gn:T02142,mtd; Mycobacterium tuberculosis UT205
2132,gn:T02143,mbi; Mycoplasma bovis HB0801
2133,gn:T02144,mlh; Mycoplasma leachii 99/014/6
2134,gn:T02145,orh; Ornithobacterium rhinotracheale DSM 15997
2135,gn:T02146,ddh; Desulfitobacterium dehalogenans ATCC 51507
2136,gn:T02147,dti; Desulfomonile tiedjei DSM 6799
2137,gn:T02148,dai; Desulfosporosinus acidiphilus SJ4
2138,gn:T02149,fli; Bernardetia litoralis DSM 6794 (Flexibacter litoralis DSM 6794)
2139,gn:T02150,mcb; Mycolicibacterium chubuense NBB4
2140,gn:T02151,amo; Acetomicrobium mobile DSM 13181 (Anaerobaculum mobile DSM 13181)
2141,gn:T02152,abs; Azospirillum baldaniorum Sp245 (Azospirillum brasilense Sp245)
2142,gn:T02153,chr; Chlamydia psittaci RD1 (Chlamydophila psittaci RD1)
2143,gn:T02154,cou; Corynebacterium pseudotuberculosis Cp162
2144,gn:T02155,mox; Candidatus Methylomirabilis oxyfera
2145,gn:T02156,sie; Streptococcus intermedius JTH08
2146,gn:T02157,tpx; Turneriella parva DSM 21527
2147,gn:T02158,mia; Mycobacterium intracellulare ATCC 13950
2148,gn:T02159,enl; Enterobacter cloacae subsp. dissolvens SDM
2149,gn:T02160,ehr; Enterococcus hirae ATCC 9790
2150,gn:T02161,pdk; Pseudomonas aeruginosa DK2
2151,gn:T02162,siv; Solibacillus silvestris StLB046
2152,gn:T02163,dosa; Oryza sativa japonica (Japanese rice) (gene model taken from RAPDB)
2153,gn:T02164,ces; Chlamydia trachomatis E/SW3
2154,gn:T02165,cfs; Chlamydia trachomatis F/SW4
2155,gn:T02166,cfw; Chlamydia trachomatis F/SW5
2156,gn:T02167,mmar; Modestobacter marinus BC501
2157,gn:T02168,psc; Pseudomonas stutzeri CCUG 29243
2158,gn:T02169,thm; Thermococcus cleftensis CL1 (Thermococcus sp. CL1)
2159,gn:T02170,ppi; Pseudomonas putida ND6
2160,gn:T02171,cue; Corynebacterium ulcerans 0102
2161,gn:T02172,efd; Enterococcus faecalis D32
2162,gn:T02173,koe; Klebsiella michiganensis E718
2163,gn:T02174,lph; Legionella pneumophila subsp. pneumophila HL06041035 (serogroup 1)
2164,gn:T02175,lpo; Legionella pneumophila subsp. pneumophila Lorraine (serogroup 1)
2165,gn:T02176,mro; Melioribacter roseus P3M-2
2166,gn:T02177,mmv; Mycobacteroides abscessus subsp. massiliense GO 06 (Mycobacterium massiliense GO 06)
2167,gn:T02178,mtv; Mycobacterium tuberculosis H37Rv
2168,gn:T02179,mwe; Mycoplasma wenyonii Massachusetts
2169,gn:T02180,ppc; Pseudopropionibacterium propionicum F0230a (Propionibacterium propionicum F0230a)
2170,gn:T02181,ppx; Pseudomonas putida DOT-T1E
2171,gn:T02182,psj; Pseudomonas stutzeri DSM 10701
2172,gn:T02183,pfi; Pyrococcus furiosus COM1
2173,gn:T02184,nat; Natrinema sp. J7-2
2174,gn:T02185,smut; Streptococcus mutans GS-5 (serotype c)
2175,gn:T02186,tea; Taylorella equigenitalis ATCC 35865
2176,gn:T02187,zmb; Zymomonas mobilis subsp. mobilis ATCC 29191
2177,gn:T02188,"sfd; Sinorhizobium fredii USDA 257, endosymbiont of legume plants"
2178,gn:T02189,mbg; Methanoculleus bourgensis MS2
2179,gn:T02190,amm; Amycolatopsis mediterranei S699
2180,gn:T02191,msg; Mycolicibacterium smegmatis MC2 155 (Mycobacterium smegmatis MC2 155)
2181,gn:T02192,pga; Phaeobacter inhibens DSM 17395 (Phaeobacter gallaeciensis DSM 17395)
2182,gn:T02193,pgl; Phaeobacter inhibens 2.10 (Phaeobacter gallaeciensis 2.10)
2183,gn:T02194,"cru; Candidatus Carsonella ruddii CE, endosymbiont of Ctenarytaina eucalypti"
2184,gn:T02195,"crc; Candidatus Carsonella ruddii CS, endosymbiont of Ctenarytaina spatulata"
2185,gn:T02196,"crt; Candidatus Carsonella ruddii HT, endosymbiont of Heteropsylla texana"
2186,gn:T02197,"crh; Candidatus Carsonella ruddii HC, endosymbiont of Heteropsylla cubana"
2187,gn:T02198,"crv; Candidatus Carsonella ruddii PC isolate NHV, endosymbiont of Pachypsylla celtidis (hackberry nipplegall maker)"
2188,gn:T02199,sect; Secondary endosymbiont of Ctenarytaina eucalypti
2189,gn:T02200,mgn; Mycoplasma gallisepticum NC06_2006.080-5-2P
2190,gn:T02201,mgs; Mycoplasma gallisepticum NC95_13295-2-2P
2191,gn:T02202,mgt; Mycoplasma gallisepticum NY01_2001.047-5-1P
2192,gn:T02203,mgv; Mycoplasma gallisepticum VA94_7994-1-7P
2193,gn:T02204,mgw; Mycoplasma gallisepticum WI01_2001.043-13-2P
2194,gn:T02205,bct; Burkholderia cepacia GG4
2195,gn:T02206,"ple; Candidatus Portiera aleyrodidarum BT-B-HRs, endosymbiont of Bemisia tabaci"
2196,gn:T02207,dmi; Desulfosporosinus meridiei DSM 13257
2197,gn:T02208,mgu; Mycoplasma genitalium M2288
2198,gn:T02209,mgc; Mycoplasma genitalium M2321
2199,gn:T02210,mgq; Mycoplasma genitalium M6282
2200,gn:T02211,mgx; Mycoplasma genitalium M6320
2201,gn:T02212,"woo; Wolbachia sp. wOo, endosymbiont of Onchocerca ochengi (nematode)"
2202,gn:T02213,kpp; Klebsiella pneumoniae subsp. pneumoniae 1084 (serotype K1)
2203,gn:T02214,sup; Streptococcus suis S735 (serotype 2)
2204,gn:T02215,arr; Arthrobacter sp. Rue61a
2205,gn:T02216,gor; Gordonia sp. KTR9
2206,gn:T02217,lhr; Lactobacillus helveticus R0052
2207,gn:T02218,nal; Nocardiopsis alba ATCC BAA-2165
2208,gn:T02219,lmw; Listeria monocytogenes SLCC2755 (serotype 1/2b)
2209,gn:T02220,lmx; Listeria monocytogenes SLCC2372 (serotype 1/2c)
2210,gn:T02221,lmz; Listeria monocytogenes serotype 7 SLCC2482
2211,gn:T02222,lmon; Listeria monocytogenes SLCC2376 (serotype 4c)
2212,gn:T02223,lmoc; Listeria monocytogenes SLCC5850 (serotype 1/2a)
2213,gn:T02224,lmos; Listeria monocytogenes SLCC7179 (serotype 3a)
2214,gn:T02225,bpj; Brachyspira pilosicoli B2904
2215,gn:T02226,pgr; Puccinia graminis f. sp. tritici CRL 75-36-700-3
2216,gn:T02227,val; Verticillium alfalfae VaMs.102 (Verticillium albo-atrum VaMs.102)
2217,gn:T02228,ttt; Thermothielavioides terrestris NRRL 8126 (Thielavia terrestris NRRL 8126)
2218,gn:T02229,aje; Histoplasma mississippiense NAm1 (Histoplasma capsulatum NAm1)
2219,gn:T02230,pbl; Paracoccidioides lutzii Pb01 (Paracoccidioides brasiliensis Pb01)
2220,gn:T02231,mtm; Thermothelomyces thermophilus ATCC 42464 (Myceliophthora thermophila ATCC 42464)
2221,gn:T02232,cgi; Cryptococcus gattii WM276
2222,gn:T02233,ncs; Naumovozyma castellii CBS 4309
2223,gn:T02234,ndi; Naumovozyma dairenensis CBS 421
2224,gn:T02235,tpf; Tetrapisispora phaffii CBS 4417
2225,gn:T02236,tdl; Torulaspora delbrueckii CBS 1146
2226,gn:T02237,erc; Eremothecium cymbalariae DBVPG#7215
2227,gn:T02238,ein; Encephalitozoon intestinalis ATCC 50506
2228,gn:T02239,lmoa; Listeria monocytogenes ATCC 19117 (serotype 4d)
2229,gn:T02240,lmoo; Listeria monocytogenes SLCC2378 (serotype 4e)
2230,gn:T02241,lmoy; Listeria monocytogenes SLCC2479 (serotype 3c)
2231,gn:T02242,lmot; Listeria monocytogenes SLCC2540 (serotype 3b)
2232,gn:T02243,"che; Cardinium sp. cEper1 (Cardinium hertigii cEper1), endosymbiont of Encarsia pergandiella"
2233,gn:T02244,lbn; Lactobacillus buchneri subsp. silagei CD034
2234,gn:T02245,snu; Streptococcus pneumoniae SPNA45 (serotype 3)
2235,gn:T02246,amac; Alteromonas macleodii ATCC 27126
2236,gn:T02247,lmol; Listeria monocytogenes L312 (serotype 4b)
2237,gn:T02248,sgc; Streptococcus agalactiae GD201008-001 (serotype Ia)
2238,gn:T02249,apc; Alpha proteobacterium HIMB59
2239,gn:T02250,apm; Alpha proteobacterium HIMB5
2240,gn:T02251,cpsc; Chlamydia psittaci CP3
2241,gn:T02252,cpsn; Chlamydia psittaci NJ1
2242,gn:T02253,amb; Alteromonas macleodii Balearic Sea AD45
2243,gn:T02254,amg; Alteromonas macleodii English Channel 673
2244,gn:T02255,cad; Gottschalkia acidurici 9a (Clostridium acidurici 9a)
2245,gn:T02256,eso; Escherichia coli O104:H4 2009EL-2071 (EAEC)
2246,gn:T02257,esl; Escherichia coli O104:H4 2011C-3493 (EAEC)
2247,gn:T02258,ean; Exiguobacterium antarcticum B7
2248,gn:T02259,adi; Alcanivorax dieselolei B5
2249,gn:T02260,amk; Alteromonas macleodii Black Sea 11
2250,gn:T02261,abh; Acinetobacter baumannii TYTH-1
2251,gn:T02262,asi; Actinobacillus suis H91-0380
2252,gn:T02263,btm; Bacillus thuringiensis MC28
2253,gn:T02264,cjp; Campylobacter jejuni subsp. jejuni PT14
2254,gn:T02265,cyq; Cycloclasticus sp. P1
2255,gn:T02266,axl; Amphibacillus xylanus NBRC 15112
2256,gn:T02267,"ply; Candidatus Portiera aleyrodidarum BT-B-HRs, endosymbiont of Bemisia tabaci B biotype"
2257,gn:T02268,dto; Desulfobacula toluolica Tol2
2258,gn:T02269,sda; Streptococcus dysgalactiae subsp. equisimilis RE378
2259,gn:T02270,nbr; Nocardia brasiliensis ATCC 700358
2260,gn:T02271,bast; Bifidobacterium asteroides PRL2011
2261,gn:T02272,eol; Emticicia oligotrophica DSM 17448
2262,gn:T02273,tpo; Treponema pallidum subsp. pallidum Mexico A
2263,gn:T02274,sve; Streptomyces venezuelae ATCC 10712
2264,gn:T02275,ptq; Psychroflexus torquis ATCC 700755
2265,gn:T02276,tpz; Thermacetogenium phaeum DSM 12270
2266,gn:T02277,btg; Bacillus thuringiensis Bt407
2267,gn:T02278,ded; Dehalobacter sp. DCA
2268,gn:T02279,dec; Dehalobacter sp. CF
2269,gn:T02280,mpy; Methanolobus psychrophilus R15
2270,gn:T02281,saga; Simiduia agarivorans SA1 = DSM 21679
2271,gn:T02282,heo; Helicobacter pylori 26695
2272,gn:T02283,pps; Pan paniscus (bonobo)
2273,gn:T02284,aqu; Amphimedon queenslandica (sponge)
2274,gn:T02285,ztr; Zymoseptoria tritici IPO323
2275,gn:T02286,shr; Sarcophilus harrisii (Tasmanian devil)
2276,gn:T02287,ehe; Encephalitozoon hellem ATCC 50504
2277,gn:T02288,lmi; Leishmania mexicana MHOM/GT/2001/U1103
2278,gn:T02289,ldo; Leishmania donovani
2279,gn:T02290,ack; Acidovorax sp. KKS102
2280,gn:T02291,bcer; Bacillus cereus FRI-35
2281,gn:T02292,bsq; Bacillus subtilis QB928
2282,gn:T02293,bti; Bacillus thuringiensis HD-771
2283,gn:T02294,bqr; Bartonella quintana RM-11
2284,gn:T02295,bbm; Bordetella bronchiseptica MO149
2285,gn:T02296,bper; Bordetella pertussis 18323
2286,gn:T02297,bpar; Bordetella parapertussis Bpp5
2287,gn:T02298,bafh; Borreliella afzelii HLJ01
2288,gn:T02299,bgn; Borreliella garinii NMJW1 (Borrelia garinii NMJW1)
2289,gn:T02300,"bpx; Paraburkholderia phenoliruptrix BR3459a, endosymbiont of Mimosa flocculosa"
2290,gn:T02301,bpq; Burkholderia pseudomallei BPC006
2291,gn:T02302,cjb; Campylobacter jejuni subsp. jejuni NCTC 11168-BN148
2292,gn:T02303,nir; Candidatus Nitrosopumilus sediminis AR2
2293,gn:T02304,nkr; Candidatus Nitrosopumilus koreensis AR1
2294,gn:T02305,nga; Candidatus Nitrososphaera gargensis Ga9.2
2295,gn:T02306,"plr; Candidatus Portiera aleyrodidarum BT-QVLC, endosymbiont of Bemisia tabaci Q biotype"
2296,gn:T02307,"plo; Candidatus Portiera aleyrodidarum BT-QVLC, endosymbiont of Bemisia tabaci Q biotype"
2297,gn:T02308,cpsb; Chlamydia psittaci 84/55
2298,gn:T02309,cpsg; Chlamydia psittaci GR9
2299,gn:T02310,cpsm; Chlamydia psittaci M56
2300,gn:T02311,cpsi; Chlamydia psittaci MN
2301,gn:T02312,cpsv; Chlamydia psittaci VS225
2302,gn:T02313,cpsw; Chlamydia psittaci WC
2303,gn:T02314,cpst; Chlamydia psittaci WS/RT/E30
2304,gn:T02315,eno; Enterobacter kobei ENHKU01 (Enterobacter cloacae subsp. cloacae ENHKU01)
2305,gn:T02316,esm; Escherichia coli O104:H4 2009EL-2050 (EAEC)
2306,gn:T02317,her; Helicobacter pylori Rif1
2307,gn:T02318,hei; Helicobacter pylori Rif2
2308,gn:T02319,lfi; Leptospirillum ferriphilum ML-04
2309,gn:T02320,pcc; Pectobacterium carotovorum subsp. carotovorum PCC21
2310,gn:T02321,lcn; Leuconostoc carnosum JB16
2311,gn:T02322,lge; Leuconostoc gelidum JB7
2312,gn:T02323,mbs; Marinobacter sp. BSs20148
2313,gn:T02324,msc; Methylocystis sp. SC2
2314,gn:T02325,mid; Mycobacterium intracellulare subsp. intracellulare MTCC 9506 (Mycobacterium indicus pranii MTCC 9506)
2315,gn:T02326,mgac; Mycoplasma gallisepticum CA06_2006.052-5-2P
2316,gn:T02327,mgan; Mycoplasma gallisepticum NC08_2008.031-4-3P
2317,gn:T02328,mgnc; Mycoplasma gallisepticum NC96_1596-4-2P
2318,gn:T02329,mhl; Candidatus Mycoplasma haemolamae Purdue
2319,gn:T02330,pacc; Cutibacterium acnes C1 (Propionibacterium acnes C1)
2320,gn:T02331,rag; Riemerella anatipestifer RA-CH-1
2321,gn:T02332,"smi; Sinorhizobium meliloti Rm41, endosymbiont of Melilotus and Medicago"
2322,gn:T02333,sdc; Streptococcus dysgalactiae subsp. equisimilis AC-2713
2323,gn:T02334,spng; Streptococcus pneumoniae gamPNI0373 (virulent serotype 1)
2324,gn:T02335,spya; Streptococcus pyogenes A20 (serotype M1)
2325,gn:T02336,sehc; Secondary endosymbiont of Heteropsylla cubana
2326,gn:T02337,lcw; Lacticaseibacillus paracasei W56 (Lactobacillus casei W56)
2327,gn:T02338,sags; Streptococcus agalactiae SA20 (Streptococcus agalactiae SA20-06)
2328,gn:T02339,"saub; Staphylococcus aureus 08BA02176, livestock-associated methicillin-resistant"
2329,gn:T02340,amaa; Alteromonas mediterranea DE1 (Alteromonas macleodii AltDE1)
2330,gn:T02341,anb; Anabaena sp. 90
2331,gn:T02342,cml; Carnobacterium maltaromaticum LMA28
2332,gn:T02343,cpsd; Chlamydia psittaci 01DC12
2333,gn:T02344,bbh; Bordetella bronchiseptica 253
2334,gn:T02345,pbo; Acidipropionibacterium acidipropionici ATCC 4875 (Propionibacterium acidipropionici ATCC 4875)
2335,gn:T02346,tos; Thermus oshimai JL-2
2336,gn:T02347,thi; Thiomonas arsenitoxydans 3As
2337,gn:T02348,goh; Gluconobacter oxydans H24
2338,gn:T02349,fts; Francisella tularensis subsp. holarctica F92
2339,gn:T02350,fti; Francisella tularensis subsp. holarctica FSC200
2340,gn:T02351,mhs; Mesomycoplasma hyorhinis SK76 (Mycoplasma hyorhinis SK76)
2341,gn:T02352,hpya; Helicobacter pylori Aklavik117
2342,gn:T02353,hpyk; Helicobacter pylori Aklavik86
2343,gn:T02354,"bajc; Buchnera aphidicola JF99, endosymbiont of Acyrthosiphon pisum (pea aphid)"
2344,gn:T02355,sezo; Streptococcus equi subsp. zooepidemicus ATCC 35246
2345,gn:T02356,bbat; Bdellovibrio bacteriovorus Tiberius
2346,gn:T02357,ppuu; Pseudomonas sp. UW4
2347,gn:T02358,calo; Calothrix sp. PCC 7507
2348,gn:T02359,cgc; Cyanobium gracile PCC 6307
2349,gn:T02360,cthe; Chroococcidiopsis thermalis PCC 7203
2350,gn:T02361,lep; Leptolyngbya sp. PCC 7376
2351,gn:T02362,nos; Nostoc sp. PCC 7107
2352,gn:T02363,nop; Nostoc sp. PCC 7524
2353,gn:T02364,riv; Rivularia sp. PCC 7116
2354,gn:T02365,thal; Candidatus Endolissoclinum faulkneri L2
2355,gn:T02366,gei; Geitlerinema sp. PCC 7407
2356,gn:T02367,plp; Pleurocapsa sp. PCC 7327
2357,gn:T02368,oac; Oscillatoria acuminata PCC 6304
2358,gn:T02369,pseu; Pseudanabaena sp. PCC 7367
2359,gn:T02370,syne; Synechococcus sp. PCC 6312
2360,gn:T02371,synp; Synechococcus sp. PCC 7502
2361,gn:T02372,calt; Calothrix sp. PCC 6303
2362,gn:T02373,cep; Crinalium epipsammum PCC 9333
2363,gn:T02374,mic; Allocoleopsis franciscana PCC 7113
2364,gn:T02375,oni; Oscillatoria nigro-viridis PCC 7112
2365,gn:T02376,can; Cyanobacterium aponinum PCC 10605
2366,gn:T02377,csn; Cyanobacterium stanieri PCC 7202
2367,gn:T02378,dsl; Dactylococcopsis salina PCC 8305
2368,gn:T02379,hao; Halothece sp. PCC 7418
2369,gn:T02380,clg; Caldisphaera lagunensis DSM 15908
2370,gn:T02381,dpd; Deinococcus peraridilitoris DSM 19664
2371,gn:T02382,bamp; Bacillus velezensis AS43.3
2372,gn:T02383,nge; Natronobacterium gregoryi SP2
2373,gn:T02384,bsl; Bacillus subtilis subsp. subtilis BSP1
2374,gn:T02385,fca; Felis catus (domestic cat)
2375,gn:T02386,tru; Takifugu rubripes (torafugu)
2376,gn:T02387,bpip; Brachyspira pilosicoli P43/6/78
2377,gn:T02388,evi; Echinicola vietnamensis DSM 17526
2378,gn:T02389,ppuh; Pseudomonas putida HB3267
2379,gn:T02390,ddl; Desulfitobacterium dichloroeliminans LMG P-21439
2380,gn:T02391,psh; Pseudomonas stutzeri RCH2
2381,gn:T02392,mfo; Methanoregula formicica SMSP
2382,gn:T02393,saci; Singulisphaera acidiphila DSM 18658
2383,gn:T02394,tco; Thermobacillus composti KWC4
2384,gn:T02395,lcc; Liberibacter crescens BT-1
2385,gn:T02396,acf; Aciduliprofundum sp. MAR08-339
2386,gn:T02397,tmb; Thioflavicoccus mobilis 8321
2387,gn:T02398,csg; Cylindrospermum stagnale PCC 7417
2388,gn:T02399,efs; Enterococcus faecalis Symbioflor 1
2389,gn:T02400,glp; Gloeocapsa sp. PCC 7428
2390,gn:T02401,hhl; Halobacteroides halobius DSM 5150
2391,gn:T02402,hru; Halovivax ruber XH-70
2392,gn:T02403,pdt; Prevotella dentalis DSM 3688
2393,gn:T02404,sesp; Saccharothrix espanaensis DSM 44229
2394,gn:T02405,"smeg; Sinorhizobium meliloti GR4, endosymbiont of alfalfa"
2395,gn:T02406,scs; Stanieria cyanosphaera PCC 7437
2396,gn:T02407,tto; Thermoanaerobacterium thermosaccharolyticum M0795
2397,gn:T02408,tni; Thioalkalivibrio nitratireducens DSM 14787
2398,gn:T02409,vpb; Vibrio parahaemolyticus BB22OP
2399,gn:T02411,btn; Bacillus thuringiensis HD-789
2400,gn:T02412,bpw; Brachyspira pilosicoli WesB
2401,gn:T02413,"kci; Candidatus Kinetoplastibacterium crithidii, endosymbiont of Angomonas deanei ATCC 30255"
2402,gn:T02414,cmp; Chamaesiphon minutus PCC 6605
2403,gn:T02415,lli; Lactococcus lactis subsp. cremoris UC509.9
2404,gn:T02416,lmog; Listeria monocytogenes serotype 4b LL195
2405,gn:T02417,"mam; Mesorhizobium australicum WSM2073, endosymbiont of Biserrula pelecinus"
2406,gn:T02418,mhz; Methanomethylovorans hollandica DSM 15978
2407,gn:T02419,mcq; Mycobacterium canettii CIPT 140060008
2408,gn:T02420,mcv; Mycobacterium canettii CIPT 140070008
2409,gn:T02421,mcx; Mycobacterium canettii CIPT 140070010
2410,gn:T02422,mcz; Mycobacterium canettii CIPT 140070017
2411,gn:T02423,msa; Mycobacterium sp. JS623
2412,gn:T02424,mcy; Mycoplasma cynos C142
2413,gn:T02425,npe; Natrinema pellirubrum DSM 15624
2414,gn:T02426,nou; Natronococcus occultus SP4
2415,gn:T02427,"kbl; Candidatus Kinetoplastibacterium blastocrithidii, endosymbiont of Strigomonas culicis"
2416,gn:T02428,dhy; Desulfovibrio hydrothermalis AM13 = DSM 14728
2417,gn:T02429,fae; Fibrella aestuarina BUZ 2
2418,gn:T02430,"bchr; Candidatus Blochmannia chromaiodes 640, endosymbiont of Camponotus chromaiodes (red carpenter ant)"
2419,gn:T02431,ebf; Enterobacteriaceae bacterium FGI 57
